Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl_prop[1]	bl_prop[2]	bl_prop[3]	bl_prop[4]	bl_prop[5]	bl_prop[6]	bl_prop[7]	bl_prop[8]	bl_prop[9]	bl_prop[10]	bl_prop[11]	bl_prop[12]	bl_prop[13]	bl_prop[14]	bl_prop[15]	bl_prop[16]	bl_prop[17]	bl_prop[18]	bl_prop[19]	bl_prop[20]	bl_prop[21]	bl_prop[22]	bl_prop[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	rate_mult[1]	rate_mult[2]	rate_mult[3]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	tl
200	-2410.99	-2444.03	33.0313	0.01153176	0.189472	0.334447	0.317133	0.158947	0.00315621	0.0114937	0.00208202	0.00624346	0.0100586	0.000483726	0.00207714	0.0028212	0.0015201	0.00118045	8.81538e-05	0.00425218	0.00496548	0.0016394	0.00193264	0.000878714	0.00328068	0.0114704	0.000181778	0.00238674	0.00853191	0.00440927	0.00133431	0.0365013	0.132924	0.0240785	0.0722052	0.116327	0.00559426	0.0240219	0.032627	0.0175798	0.0136518	0.00101949	0.0491762	0.0574254	0.0189596	0.0223509	0.0101623	0.0379408	0.132655	0.00210225	0.0276025	0.098671	0.0509929	0.0154312	0.0585135	0.365785	0.0779129	0.0857346	0.375471	0.0365829	1	0.456351	1.54318	3.46387e-53	8.81106e-27	2.46171e-11	4	0.08646829
210	-2412.73	-2444.65	31.9193	0.01196422	0.167249	0.345673	0.322795	0.164283	0.000772063	0.00729336	0.00216198	0.00536477	0.0111142	0.0013158	0.00168822	0.000924094	0.00248861	0.000564071	0.00213224	0.00529195	0.0049315	0.0018537	0.000817821	0.000230451	0.00241118	0.00772039	0.000258814	0.000861936	0.0026528	0.00700659	0.00108565	0.010883	0.102807	0.0304752	0.0756218	0.156665	0.0185475	0.0237971	0.013026	0.0350794	0.00795113	0.0300561	0.0745953	0.0695144	0.0261298	0.011528	0.00324844	0.033988	0.108827	0.00364824	0.0121498	0.0373938	0.0987648	0.0153033	0.101609	0.323511	0.102506	0.0449723	0.388466	0.038935	1	0.493456	2.11807	2.67102e-51	7.73694e-26	6.06487e-11	4	0.07094216
220	-2416.97	-2448.46	31.4841	0.02035337	0.18338	0.305107	0.34357	0.167943	0.00221981	0.00681065	0.00269788	0.00430109	0.00970683	0.000804738	0.00268962	0.000528201	0.00205808	0.000518706	0.000434812	0.00544766	0.0026844	0.00118468	0.000335493	0.000475996	0.00268873	0.00154293	0.000711568	0.00223013	0.00418827	0.00575604	0.00108327	0.036331	0.111468	0.0441555	0.0703948	0.158869	0.0131709	0.0440203	0.00864492	0.033684	0.00848952	0.00711645	0.0891603	0.0439348	0.0193894	0.00549092	0.00779049	0.0440056	0.0252527	0.011646	0.0364999	0.0685483	0.0942075	0.0177296	0.106838	0.309562	0.0315188	0.083147	0.371715	0.0972192	1	0.497492	2.28974	1.47031e-30	1.81392e-15	1.22014e-06	4	0.06109959
230	-2413.75	-2443.66	29.9124	0.05112822	0.183166	0.311459	0.333936	0.171439	0.00100324	0.00660525	0.0036409	0.00473096	0.00548773	0.00130481	0.000801888	0.000327457	0.00138905	0.000583795	0.00085383	0.00614557	0.00195579	0.00178404	0.000771264	0.000410699	0.00200001	0.00544701	7.04169e-05	0.00123869	0.00378043	0.00306289	0.000657538	0.0185603	0.122199	0.0673576	0.0875241	0.101524	0.0241394	0.0148351	0.00605804	0.0256977	0.0108004	0.0157961	0.113695	0.0361826	0.0330052	0.0142686	0.00759805	0.0370007	0.100771	0.00130273	0.022916	0.069939	0.0566644	0.0121646	0.119989	0.411821	0.0808262	0.0836938	0.255991	0.0476792	1	1.10849	2.78364	9.33237e-13	1.44135e-06	0.00601608	3.99398	0.05405324
240	-2409.15	-2441.26	32.1054	0.03508431	0.172563	0.336728	0.314605	0.176104	0.00287289	0.00502799	0.00496083	0.00453533	0.0105404	0.00318542	0.00144414	0.000803489	0.00195101	0.000651314	0.000806814	0.00672673	0.00506094	0.000598393	0.00259058	0.000609826	0.0018296	0.00470444	0.0001562	0.00120417	0.00554303	0.00351982	0.00182732	0.0403776	0.0706668	0.0697228	0.0637426	0.148142	0.04477	0.020297	0.0112928	0.0274209	0.00915402	0.0113395	0.0945421	0.0711299	0.00841023	0.0364098	0.00857091	0.0257144	0.0661194	0.00219535	0.0169243	0.0779055	0.0494699	0.0256824	0.100226	0.490478	0.0144873	0.0702445	0.260966	0.063598	1	0.498728	1.92903	3.85735e-18	2.93432e-09	0.000459958	3.99954	0.07115066
250	-2409.4	-2438.55	29.1525	0.02657267	0.183091	0.328853	0.32998	0.158075	0.00182555	0.00484206	0.00293096	0.00518721	0.00512134	0.000640805	0.00149894	0.000668001	0.00204893	0.000697409	0.000416753	0.00455788	0.0038349	0.000387198	0.00144745	0.000262532	0.00199789	0.00399033	0.000173323	0.000888588	0.00624302	0.00601514	0.0010606	0.0321757	0.0853425	0.0516589	0.0914258	0.0902648	0.0112943	0.0264191	0.0117737	0.0361128	0.012292	0.00734538	0.0803338	0.0675911	0.00682446	0.0255116	0.00462719	0.0352134	0.0703306	0.00305486	0.0156616	0.110035	0.106018	0.0186933	0.0787952	0.353931	0.110559	0.0661081	0.340225	0.0503819	1	0.504487	3.43828	1.2308e-23	5.24533e-12	3.33156e-05	3.99997	0.05673681
260	-2414.01	-2444.91	30.8977	0.223645	0.180198	0.323657	0.340567	0.155577	0.00257662	0.0063144	0.00736639	0.00278831	0.00881894	0.00067311	0.00174554	0.00177375	0.00218935	0.000441537	0.000564997	0.00565909	0.00287687	0.000180976	0.00122207	8.70799e-05	0.00259289	0.0043213	0.000906192	0.000654015	0.00483006	0.00753433	0.000495793	0.03868	0.0947915	0.110584	0.0418579	0.132389	0.0101047	0.026204	0.0266275	0.0328664	0.00662834	0.00848171	0.084954	0.0431874	0.0027168	0.0183457	0.00130724	0.0389243	0.0648711	0.0136037	0.00981804	0.0725086	0.113105	0.00744283	0.107614	0.336239	0.0238238	0.0902868	0.402817	0.0392189	1	0.435079	1.51055	0.00110204	0.0484324	0.442521	3.50794	0.06661361
270	-2414.88	-2444.56	29.6848	0.04897995	0.173501	0.320841	0.331405	0.174253	0.00187476	0.00473317	0.00294852	0.00310711	0.0077105	0.000394097	0.000658243	0.000815397	0.00179622	0.000682904	0.00110099	0.00339633	0.00176674	0.000154371	0.00063278	4.80453e-05	0.000969777	0.00245488	0.000527505	0.000245211	0.00328276	0.00546453	0.000312885	0.0415896	0.105	0.0654098	0.0689278	0.171049	0.00874261	0.0146024	0.0180887	0.0398472	0.0151495	0.0244243	0.075344	0.0391932	0.00342455	0.0140375	0.00106583	0.0215134	0.0544587	0.0117021	0.00543974	0.0728244	0.121225	0.00694102	0.0893173	0.480608	0.067701	0.0584866	0.218586	0.0853007	1	0.958965	3.02805	2.84232e-13	7.95587e-07	0.00470137	3.9953	0.04507773
280	-2422.32	-2455.36	33.0318	0.08084555	0.176812	0.326601	0.311815	0.184772	0.00221069	0.00698771	0.00376327	0.00704966	0.00789773	0.00117943	0.000970243	0.00132842	0.00294905	0.00181021	0.00221236	0.0115625	0.0024655	0.000646273	0.00144072	7.33575e-05	0.00215319	0.00919189	0.00167611	0.00262582	0.00401408	0.00358901	0.00065659	0.0281782	0.0890678	0.0479679	0.0898574	0.100667	0.0150335	0.0123671	0.0169325	0.0375896	0.0230735	0.0281995	0.14738	0.0314261	0.00823762	0.0183639	0.000935041	0.0274453	0.117163	0.0213643	0.0334696	0.0511649	0.0457468	0.00836912	0.13394	0.308494	0.167311	0.0517436	0.290821	0.0476913	1	0.450535	1.18543	1.9784e-08	0.000209337	0.0475069	3.95228	0.07845382
290	-2413.38	-2443.57	30.1917	0.06436896	0.159263	0.334875	0.319714	0.186147	0.001561	0.0038519	0.00283866	0.00151021	0.00628311	0.000505185	0.00109491	0.000536548	0.00110317	0.000452416	0.000401891	0.00554461	0.00181316	0.00104755	0.000315599	6.7499e-05	0.00178138	0.00278017	0.00146817	0.00101639	0.00535944	0.00843798	0.00191385	0.0302024	0.0745267	0.0549225	0.0292196	0.121566	0.00977434	0.0211844	0.0103811	0.0213443	0.00875336	0.0077758	0.107277	0.0350811	0.0202681	0.00610623	0.00130597	0.0344662	0.0537908	0.0284062	0.0196652	0.103695	0.163259	0.0370292	0.112391	0.438795	0.0330375	0.0763807	0.252838	0.0865579	1	0.552289	2.75873	2.46185e-10	2.33842e-05	0.0191236	3.98085	0.05168479
